header,,,lamp_states,,,,lamp_states,,,,lamp_states,,,
stamp,,frame_id,type,status,confidence,id,type,status,confidence,id,type,status,confidence,id
sec,nanosec,,,,,,,,,,,,,
1720612826,804295420,CF_short,2,8,99,58285,,,,,,,,
1720612826,816076604,CF,2,8,99,58861,,,,,,,,
1720612826,864202901,CF,2,8,99,58861,,,,,,,,
1720612826,895065542,CF_short,2,8,99,58285,,,,,,,,
1720612827,50602997,CF,2,8,99,58861,,,,,,,,
1720612827,30325276,CF_short,2,8,99,58285,,,,,,,,
1720612827,233019433,CF_short,2,8,99,58285,,,,,,,,
1720612827,371762044,CF_short,2,8,99,58285,,,,,,,,
1720612827,381896242,CF,2,8,99,58861,,,,,,,,
1720612827,475911886,CF,2,8,99,58861,2,8,99,58861,,,,
1720612827,478133777,CF_short,2,8,99,58285,,,,,,,,
1720612827,619380238,CF,2,8,99,58861,2,8,99,58861,,,,
1720612827,639186978,CF_short,2,8,99,58285,,,,,,,,
1720612827,855711970,CF,2,8,99,58861,2,8,99,58861,,,,
1720612827,867444853,CF_short,2,8,99,58285,,,,,,,,
1720612828,37103255,CF_short,2,8,99,58285,,,,,,,,
1720612828,45940157,CF,2,8,99,58861,2,8,99,58861,,,,
1720612828,187795824,CF,2,8,99,58861,,,,,,,,
1720612828,153687809,CF_short,2,8,99,58285,,,,,,,,
1720612828,229509953,CF,2,8,99,58861,,,,,,,,
1720612828,253638330,CF_short,2,8,99,58285,,,,,,,,
1720612828,486757803,CF_short,2,8,99,58285,,,,,,,,
1720612828,515302239,CF,2,8,99,58861,2,8,99,58861,,,,
1720612828,849436161,CF,2,8,99,58861,,,,,,,,
1720612828,859026802,CF_short,2,8,99,58285,,,,,,,,
1720612828,985277005,CF,2,8,99,58861,2,8,99,58861,,,,
1720612829,926688,CF_short,2,8,99,58285,,,,,,,,
1720612829,166044547,CF_short,2,8,99,58285,,,,,,,,
1720612829,174231924,CF,2,8,99,58861,2,8,99,58861,,,,
1720612829,350509673,CF_short,2,8,99,58285,,,,,,,,
1720612829,363295364,CF,2,8,99,58861,,,,,,,,
1720612829,415070398,CF_short,2,8,99,58285,,,,,,,,
1720612829,515088726,CF_short,2,8,99,58285,,,,,,,,
1720612829,506622296,CF,2,8,99,58861,,,,,,,,
1720612829,659659929,CF_short,2,8,99,58285,,,,,,,,
1720612829,693164121,CF,2,8,99,58861,,,,,,,,
1720612829,802703988,CF_short,2,8,99,58285,,,,,,,,
1720612829,786689531,CF,2,8,99,58861,,,,,,,,
1720612829,970587711,CF_short,2,8,99,58861,,,,,,,,
1720612830,23378967,CF,2,8,99,58861,,,,,,,,
1720612830,71853397,CF_short,2,8,99,58285,,,,,,,,
1720612830,79999127,CF,2,8,99,58861,,,,,,,,
1720612830,212214277,CF_short,2,8,99,58285,,,,,,,,
1720612830,413540303,CF,2,8,99,58861,,,,,,,,
1720612830,417260943,CF_short,2,8,99,58285,0,8,99,58285,,,,
1720612830,543810608,CF,2,8,99,58861,,,,,,,,
1720612830,523053853,CF_short,2,8,99,58285,,,,,,,,
1720612830,655012448,CF_short,2,8,99,58861,,,,,,,,
1720612830,823271737,CF_short,2,8,99,58285,,,,,,,,
1720612830,823865111,CF,2,8,99,58861,2,8,99,58861,,,,
1720612830,966484483,CF,2,8,99,58861,,,,,,,,
1720612830,999688730,CF_short,2,8,99,58285,,,,,,,,
1720612831,156643482,CF,2,8,99,58861,,,,,,,,
1720612831,148328360,CF_short,2,8,99,58285,,,,,,,,
1720612831,292118850,CF_short,2,8,99,58285,,,,,,,,
1720612831,298292659,CF,2,8,99,58861,,,,,,,,
1720612831,440031248,CF,0,8,99,58861,,,,,,,,
1720612831,442425219,CF_short,2,8,98,58285,,,,,,,,
1720612831,611968632,CF_short,2,8,99,58861,,,,,,,,
1720612831,709698635,CF_short,2,8,99,58285,,,,,,,,
1720612831,721747094,CF,2,8,99,58861,,,,,,,,
1720612831,913287483,CF_short,2,8,99,58861,,,,,,,,
1720612832,4492185,CF,2,8,99,58861,,,,,,,,
1720612832,12695372,CF_short,2,8,99,58861,,,,,,,,
1720612832,210059665,CF_short,2,8,99,58861,,,,,,,,
1720612832,190943203,CF,2,8,99,58861,,,,,,,,
1720612832,386379022,CF_short,2,8,99,58861,,,,,,,,
1720612832,339616369,CF,2,8,99,58861,,,,,,,,
1720612832,552492344,CF_short,2,8,99,58861,,,,,,,,
1720612832,524595739,CF,2,8,99,58861,,,,,,,,
1720612832,721893691,CF_short,2,8,99,58861,0,8,52,58861,,,,
1720612832,888715356,CF_short,2,8,99,58861,,,,,,,,
1720612833,79222058,CF_short,2,8,99,58861,,,,,,,,
1720612833,180009892,CF_short,2,8,99,58861,,,,,,,,
1720612833,344923310,CF_short,2,8,99,58861,,,,,,,,
1720612833,377398265,CF_short,2,8,99,58861,,,,,,,,
1720612833,508772942,CF_short,2,8,99,58861,,,,,,,,
1720612833,577080133,CF_short,2,8,99,58861,,,,,,,,
1720612833,674933219,CF_short,2,8,99,58861,,,,,,,,
1720612833,741487674,CF_short,2,8,99,58861,,,,,,,,
1720612833,809118604,CF_short,2,8,99,58861,,,,,,,,
1720612833,913154998,CF_short,2,8,99,58861,,,,,,,,
1720612833,979744819,CF_short,2,8,99,58861,,,,,,,,
1720612834,86659908,CF_short,2,8,99,58861,,,,,,,,
1720612834,176101371,CF,2,8,99,58861,,,,,,,,
1720612834,195747327,CF_short,2,8,99,58861,,,,,,,,
1720612834,335764186,CF_short,2,8,99,58861,,,,,,,,
1720612834,434466958,CF_short,2,8,99,58861,,,,,,,,
1720612834,553689636,CF,2,8,99,58861,,,,,,,,
1720612834,565566135,CF_short,2,8,99,58861,,,,,,,,
1720612834,697398045,CF_short,2,8,99,58861,,,,,,,,
1720612834,832517601,CF_short,2,8,99,58861,,,,,,,,
1720612834,965786593,CF_short,2,8,99,58861,,,,,,,,
1720612835,26103998,CF,2,8,99,58861,,,,,,,,
1720612835,30706850,CF_short,2,8,99,58861,,,,,,,,
1720612835,261666353,CF,2,8,99,58861,,,,,,,,
1720612835,270619577,CF_short,2,8,99,58861,,,,,,,,
1720612835,402009520,CF,2,8,99,58861,,,,,,,,
1720612835,411417273,CF_short,2,8,99,58861,,,,,,,,
1720612835,578979555,CF_short,2,8,99,58861,,,,,,,,
1720612835,590602095,CF,2,8,99,58861,,,,,,,,
1720612835,644757246,CF_short,2,8,99,58861,,,,,,,,
1720612835,782105127,CF,2,8,99,58861,,,,,,,,
1720612835,785192483,CF_short,2,8,99,58861,,,,,,,,
1720612835,962771447,CF_short,2,8,99,58861,,,,,,,,
1720612836,104466079,CF_short,2,8,99,58861,,,,,,,,
1720612836,170881560,CF_short,2,8,99,58861,,,,,,,,
1720612836,276661623,CF_short,2,8,99,58861,2,8,96,58861,,,,
1720612836,478153614,CF_short,2,8,99,58861,,,,,,,,
1720612836,543918093,CF_short,2,8,99,58861,2,8,99,58861,,,,
1720612836,677004909,CF_short,2,8,99,58861,2,8,99,58861,,,,
1720612836,852313298,CF_short,2,8,99,58861,2,8,63,58861,,,,
1720612837,38321181,CF_short,2,8,99,58861,2,8,99,58861,,,,
1720612837,151082941,CF_short,2,8,99,58861,2,8,99,58861,,,,
1720612837,220847038,CF_short,2,8,99,58861,2,8,99,58861,,,,
1720612837,418532987,CF_short,2,8,99,58861,2,8,99,58861,,,,
1720612837,522411306,CF_short,2,8,99,58861,2,8,99,58861,,,,
1720612837,688639880,CF_short,2,8,99,58861,,,,,,,,
1720612837,865837460,CF_short,2,8,99,58861,2,8,99,58861,,,,
1720612837,961056346,CF_short,2,8,99,58861,2,8,99,58861,,,,
1720612838,175105823,CF_short,2,8,99,58861,2,8,99,58861,,,,
1720612838,287189062,CF_short,2,8,99,58861,2,8,99,58861,,,,
1720612838,417890367,CF_short,2,8,99,58861,2,8,99,58861,,,,
1720612838,549599481,CF_short,2,8,99,58861,,,,,,,,
1720612838,694129400,CF_short,2,8,99,58861,2,8,99,58861,,,,
1720612838,793799250,CF_short,2,8,99,58861,2,8,99,58861,,,,
1720612838,975992622,CF_short,2,8,99,58861,2,8,99,58861,,,,
1720612839,451600766,CF_short,0,8,99,58861,,,,,,,,
1720612839,648470263,CF_short,0,8,99,58861,,,,,,,,
1720612900,473265864,CF,1,8,97,58554,,,,,,,,
1720612900,660206728,CF,0,8,99,58554,,,,,,,,
1720612900,755568427,CF,1,8,60,58554,,,,,,,,
1720612900,801448150,CF,1,8,98,58554,,,,,,,,
1720612900,850652408,CF,0,8,99,58554,,,,,,,,
1720612900,896929346,CF,1,8,55,58554,,,,,,,,
1720612900,994937914,CF,0,8,99,58554,,,,,,,,
1720612901,460519144,CF,1,8,91,58554,,,,,,,,
1720612901,557516844,CF,1,8,87,58554,,,,,,,,
1720612901,698894904,CF,0,8,99,58554,,,,,,,,
1720612901,792858472,CF,1,8,86,58554,,,,,,,,
1720612901,935524308,CF,1,8,85,58554,,,,,,,,
1720612901,984695215,CF,1,8,82,58554,,,,,,,,
1720612902,78643299,CF,1,8,78,58554,,,,,,,,
1720612902,171393242,CF,0,8,99,58554,,,,,,,,
1720612902,310344862,CF,1,8,93,58554,,,,,,,,
1720612902,358365238,CF,0,8,99,58554,,,,,,,,
1720612902,455996187,CF,1,8,73,58554,,,,,,,,
1720612902,597217313,CF,1,8,84,58554,,,,,,,,
1720612902,643024071,CF,1,8,81,58554,,,,,,,,
1720612902,689302871,CF,0,8,99,58554,,,,,,,,
1720612902,783949949,CF,1,8,78,58554,,,,,,,,
1720612902,925058906,CF,1,8,68,58554,,,,,,,,
1720612903,18757524,CF,0,8,99,58554,,,,,,,,
1720612903,66135374,CF,1,8,87,58554,,,,,,,,
1720612903,210099889,CF,0,8,99,58554,,,,,,,,
1720612903,305302402,CF,1,8,96,58554,,,,,,,,
1720612903,349977893,CF,0,8,99,58554,,,,,,,,
1720612903,398818451,CF,1,8,99,58554,,,,,,,,
1720612903,492748919,CF,1,8,83,58554,,,,,,,,
1720612903,542039206,CF,0,8,99,58554,,,,,,,,
1720612903,634161813,CF,1,8,83,58554,,,,,,,,
1720612903,680136706,CF,0,8,99,58554,,,,,,,,
1720612903,728572645,CF,1,8,75,58554,,,,,,,,
1720612903,822861480,CF,1,8,82,58554,,,,,,,,
1720612904,12908301,CF,0,8,99,58554,,,,,,,,
1720612904,199553877,CF,0,8,99,58554,,,,,,,,
1720612904,340978368,CF,0,8,99,58554,,,,,,,,
1720612904,533757764,CF,0,8,99,58554,,,,,,,,
1720612904,580885471,CF,0,8,93,58554,1,8,96,58554,,,,
1720612904,669318814,CF,0,8,99,58554,,,,,,,,
1720612904,817068619,CF,1,8,45,58554,1,8,91,58554,,,,
1720612904,956504187,CF,1,8,92,58554,1,8,86,58554,,,,
1720612905,96402846,CF,1,8,55,58554,5,8,55,58554,1,8,76,58554
1720612905,191423692,CF,0,8,99,58554,,,,,,,,
1720612905,284351055,CF,1,8,55,58554,1,8,89,58554,,,,
1720612905,471285175,CF,1,8,85,58554,,,,,,,,
1720612905,559965591,CF_short,1,8,97,58554,,,,,,,,
1720612905,566417128,CF,1,8,71,58554,5,8,71,58554,,,,
1720612905,662289308,CF,1,8,58,58554,1,8,93,58554,,,,
1720612905,757065742,CF,1,8,56,58554,1,8,92,58554,,,,
1720612905,944185284,CF,1,8,77,58554,1,8,96,58554,,,,
1720612906,88297209,CF,1,8,58,58554,1,8,98,58554,,,,
1720612906,183232436,CF,0,8,43,58554,0,8,99,58554,,,,
1720612906,333151972,CF,1,8,95,58554,,,,,,,,
